Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
 Emerson,Spain,DF,Real Betis,€6.0M,2019
 Marc Cardona,Spain,FW,Osasuna,€2.5M,2019
 André Gomes,England,MF,Everton,€25.0M,2019
 Marc Cucurella,Spain,DF,Eibar,€2.0M,2019
 Denis Suárez,Spain,MF,Celta Vigo,€12.9M,2019
 Thomas Vermaelen,Japan,DF,Vissel Kobe,Neznana,2019
 Douglas,Turkey,DF,Beşiktaş,Neznana,2019
 Jasper Cillessen,Spain,GK,Valencia,€35.0M,2019
 Jeison Murillo,Spain,DF,Valencia,Neznana,2019
 Kevin-Prince Boateng,Italy,FW,Sassuolo,Neznana,2019
 Sergi Palencia,France,DF,Saint-Étienne,€2.0M,2019
 Adrián Ortolá,Spain,GK,Tenerife,Neznana,2019
 Malcom,Russia,FW,Zenit Saint Petersburg,€40.0M,2019
